Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,14.870000,14.870000,14.870000,14.870000,14.561971,0
2016-01-01,14.870000,14.870000,11.830000,12.490000,12.231272,35275
2016-02-01,14.870000,14.870000,14.870000,14.870000,14.561971,0
2016-03-01,14.870000,14.870000,12.630000,12.840000,12.574022,514520
2016-04-01,14.370000,14.960000,12.660000,12.970000,12.701328,157611
2016-05-01,14.960000,14.960000,14.960000,14.960000,14.650105,0
2016-06-01,14.960000,14.960000,14.300000,14.300000,14.003778,700
2016-07-01,14.300000,15.440000,14.300000,15.440000,15.120163,1376
2016-08-01,15.440000,15.570000,15.440000,15.570000,15.247469,70012
2016-09-01,15.570000,15.570000,15.570000,15.570000,15.247469,0
2016-10-01,15.570000,15.580000,13.770000,13.900000,13.612064,130424
2016-11-01,15.130000,16.260000,15.020000,16.260000,15.923177,450
2016-12-01,16.260000,16.260000,16.260000,16.260000,15.923177,0
2017-01-01,16.260000,16.900000,16.260000,16.900000,16.549919,6592
2017-02-01,16.900000,16.900000,16.860001,16.860001,16.510748,679
2017-03-01,16.860001,16.860001,16.750000,16.750000,16.403025,700
2017-04-01,16.750000,16.750000,16.750000,16.750000,16.403025,0
2017-05-01,16.750000,16.980000,14.970000,15.080000,14.767619,11108
2017-06-01,16.959999,16.959999,14.930000,14.990000,14.679484,9631
2017-07-01,15.120000,17.400000,14.750000,17.389999,17.029768,8273
2017-08-01,17.425501,17.425501,14.150000,14.530000,14.229013,85736
2017-09-01,14.590000,15.020000,14.280000,15.010000,14.699071,42613
2017-10-01,15.110000,15.420000,15.080000,15.390000,15.071199,20932
2017-11-01,15.490000,15.580000,15.070000,15.160000,14.845963,47721
2017-12-01,15.160000,16.000000,15.160000,15.770000,15.443328,51134
2018-01-01,15.770000,16.214001,15.612000,15.792000,15.464870,82449
2018-02-01,15.704000,15.718000,14.520000,15.458000,15.137790,37437
2018-03-01,15.352000,15.554000,14.444000,14.774000,14.467959,12968
2018-04-01,14.774000,15.364000,14.568000,15.364000,15.045737,11337
2018-05-01,15.364000,16.110001,15.160000,16.034000,15.701859,6778
2018-06-01,16.052000,16.441999,15.981000,16.070999,15.738091,18973
2018-07-01,16.070999,16.562000,16.046000,16.420000,16.079863,7042
2018-08-01,16.596001,17.086000,16.497999,16.920000,16.569504,21249
2018-09-01,17.004000,17.028000,16.850000,16.882000,16.532291,5765
2018-10-01,16.882000,17.134001,15.970000,16.066000,15.733196,8720
2018-11-01,16.318001,16.742001,15.796000,16.309999,15.972139,12670
2018-12-01,16.799999,16.832001,14.344000,16.424000,16.083780,5210
2019-01-01,14.384000,15.776000,14.384000,15.542000,15.220050,9297
2019-02-01,15.542000,16.690001,15.542000,16.667999,16.322723,7357
2019-03-01,16.546000,16.694000,16.290001,16.662001,16.316849,33920
2019-04-01,16.782000,19.418501,16.782000,19.392401,18.990690,17020
2019-05-01,17.388000,19.029100,16.388000,16.792000,16.444155,34544
2019-06-01,16.077999,16.950001,16.076000,16.879999,16.530333,16333
2019-07-01,17.194000,17.738001,17.146000,17.639999,17.363018,6416
2019-08-01,17.639999,19.128300,16.420000,17.188000,16.918116,22977
2019-09-01,17.188000,17.968000,17.188000,17.846001,17.565786,3431
2019-10-01,17.988001,19.891600,17.180000,19.808100,19.592516,7236
2019-11-01,17.784000,18.670000,17.784000,18.650000,18.447021,1379
2019-12-01,18.638000,18.954000,18.104000,18.840000,18.634953,35803
2020-01-01,18.840000,19.260000,18.612000,18.834000,18.712852,12594
2020-02-01,18.652000,20.889999,16.570000,16.650000,16.542900,32538
2020-03-01,18.736700,18.736700,12.694000,14.264000,14.172249,42177
2020-04-01,13.818000,16.280001,13.224000,15.850000,15.850000,30644
2020-05-01,15.850000,16.559999,14.862000,15.978000,15.978000,39519
2020-06-01,15.978000,17.760000,15.562000,17.885000,17.885000,77020
2020-07-01,17.995001,18.084999,15.600000,15.642000,15.642000,36954
2020-08-01,15.916000,19.695000,15.798000,19.695000,19.695000,39567
2020-09-01,16.511999,19.205999,15.976000,15.976000,15.976000,19019
2020-10-01,16.222000,19.920000,16.024000,18.900000,18.900000,4314
2020-11-01,18.690001,21.540001,16.790001,21.312500,21.312500,24334
2020-12-01,21.544701,22.072500,17.836000,21.697500,21.697500,32890
